id	emotion
34170_0002_A_12	0.0006258939392864704,0.0017466220306232572,0.0024163173511624336,2.200532253482379e-05,0.0017418633215129375,0.0011597371194511652
34170_0002_A_14	0.002241433598101139,0.0031364159658551216,0.003579287091270089,0.00040238696965388954,0.0006739812670275569,0.0033735246397554874
34170_0003_A_16	0.003869761247187853,0.026829365640878677,0.00033467827597633004,0.0009113627602346241,0.0002367659326409921,0.0005031976033933461
34170_0003_A_17	0.0021538203582167625,0.0007041501812636852,0.001153554767370224,0.0024178833700716496,0.0009062231983989477,0.011194709688425064
34170_0003_A_18	0.00317460298538208,0.0007611886831000447,0.001170074800029397,0.008351033553481102,0.002567518502473831,0.5717779397964478
34170_0003_A_20	0.012831914238631725,0.0035319682210683823,0.0016416020225733519,0.002383199753239751,0.009790293872356415,1.05708646774292
34170_0003_A_21	0.0009721872629597783,0.0007926878752186894,0.00759574631229043,0.0003465372137725353,0.0008689867099747062,0.012337191961705685
34170_0004_A_24	0.046790216118097305,0.002926503075286746,0.0007921303622424603,2.4057928385445848e-05,0.00023747162776999176,0.00022566541156265885
34170_0004_A_25	0.6540148258209229,0.13875676691532135,0.0013682962162420154,0.00024298977223224938,0.0010646575829014182,0.18711601197719574
34170_0004_A_26	0.9567241668701172,0.1704292893409729,0.001517360215075314,0.00025596091290935874,0.001644299365580082,0.2899121642112732
34170_0004_A_27	0.0008137407712638378,0.00022516607714351267,0.0008057373343035579,7.25955396774225e-05,0.00046136591117829084,0.00017368665430694818
34170_0004_A_28	0.003032267326489091,0.0002962268772535026,0.0004616836959030479,0.002940404461696744,0.030192233622074127,0.0379752516746521
34170_0005_A_31	0.005612642969936132,0.29610687494277954,0.0019610177259892225,9.580765618011355e-05,8.915152284316719e-05,0.00035239069256931543
34170_0005_A_33	0.018005291000008583,0.0007534511969424784,0.0008116355747915804,0.000762587646022439,0.0009554075659252703,0.0009077693102881312
34170_0005_A_35	0.0018558758310973644,0.0004852871352341026,0.002675543539226055,0.004271291196346283,0.00024100314476527274,0.011774369515478611
34170_0004_A_29	0.0027523767203092575,0.00041582074481993914,0.0005549157503992319,0.002914195414632559,0.0391603484749794,0.06073257327079773
34170_0005_A_34	0.040952589362859726,0.04345838353037834,0.0018400042317807674,0.005655987653881311,0.0006985944928601384,0.024915196001529694
34170_0005_A_36	0.012951747514307499,0.0032338430173695087,0.00019944860832765698,0.001512077171355486,0.00019065762171521783,0.0004660767735913396
34170_0005_A_32	0.017904188483953476,0.005001870449632406,0.00038435717578977346,0.0003250763693358749,0.0009029399370774627,0.00014146427565719932
34170_0007_A_42	0.0001398346503265202,0.0003480127779766917,0.0005020373500883579,0.0001809081732062623,0.0010324903996661305,0.0034294063225388527
34170_0007_A_43	0.0003826173488050699,0.00026895542396232486,0.0002703828795347363,0.00019187750876881182,0.0008439671946689487,0.0001073592429747805
34170_0007_A_44	6.544224743265659e-05,9.195308666676283e-05,0.0003827527107205242,0.001658701105043292,0.00046587991528213024,0.028521284461021423
34170_0007_A_45	0.0005046967999078333,0.0021683694794774055,0.0035388702526688576,0.00048706959933042526,0.00533280847594142,0.0004600064130499959
34170_0007_A_46	0.00021282084344420582,0.00016498847980983555,0.0004704210441559553,8.632600656710565e-05,5.82551583647728e-05,0.00046199941425584257
34170_0007_A_47	0.0005501395789906383,0.0012039209250360727,0.00019079260528087616,0.00025470039690844715,0.005126995965838432,0.0011025972198694944
34170_0008_A_49	0.003445352427661419,0.0016587921418249607,0.00019123853417113423,0.0002742041542660445,5.640022209263407e-05,0.00012733356561511755
34170_0008_A_50	0.0006833274383097887,0.0001863111392594874,0.00035781104816123843,0.0003796578967012465,0.0014730733819305897,0.000772719387896359
34170_0008_A_51	0.616033673286438,0.005838979035615921,0.0007849400863051414,0.00014576833928003907,0.011307375505566597,0.001804682775400579
34170_0009_A_54	0.0028479848988354206,0.00035674608079716563,0.00018425819871481508,0.0002595024125184864,0.0006011977675370872,0.0003529889800120145
34170_0009_A_56	0.000762882933486253,0.0016995535697788,8.756991883274168e-05,0.0004989144508726895,0.00010578781075309962,6.234213651623577e-05
34170_0009_A_58	0.0009787247981876135,0.0003323484561406076,0.0003127926611341536,0.00028436887077987194,0.0002848492586053908,0.00017007360293064266
34170_0009_A_59	0.0003979363536927849,0.0002927640452980995,0.0019225883297622204,0.0003171887365169823,0.00011907712905667722,0.0002019496459979564
34170_0009_A_60	0.00013520133506972343,0.0005796279292553663,0.0004885864909738302,0.00036390317836776376,0.0018520220182836056,0.00014133079093880951
34170_0009_A_61	0.0002973796217702329,0.000981657300144434,0.0032408791594207287,0.0016397318104282022,0.00039442453999072313,0.002310855081304908
34170_0009_A_62	0.000556308077648282,0.0006617282051593065,0.0004057505866512656,7.296763214981183e-05,0.000775438966229558,9.292409231420606e-05
34170_0009_A_63	0.0008316796738654375,0.0010364584159106016,0.00034495696309022605,8.147692278726026e-05,0.0007288545020855963,0.00010503690282348543
34170_0009_A_64	0.00045494025107473135,0.00026408827397972345,0.00019601540407165885,0.0004111972521059215,0.00011509447358548641,0.0005771699361503124
34170_0010_A_66	0.0014217268908396363,0.0009693293832242489,0.0006859516142867506,0.00039062663563527167,0.00010893250146182254,7.412870036205277e-05
34170_0010_A_67	0.0007431476842612028,0.0002969973429571837,0.0002706689410842955,0.00017445339472033083,0.00042600551387295127,0.00011926578008569777
34170_0011_A_71	0.0097512761130929,0.0014881575480103493,0.00015497347339987755,0.0005214770208112895,0.000825729570351541,0.0008111969218589365
34170_0011_A_74	0.00024498277343809605,0.00021147186635062099,0.00035164481960237026,0.00019787508063018322,0.00020123067952226847,0.00013830908574163914
34170_0011_A_76	0.0010936054168269038,0.00024852214846760035,0.0001901668292703107,0.0005108037730678916,0.00047605973668396473,0.0002798378118313849
34170_0011_A_78	0.00017872342141345143,0.00011476906365714967,0.00023511357721872628,0.000554113183170557,0.00012145955406595021,0.00046691924217157066
34170_0011_A_80	0.00028802809538319707,0.00016009279352147132,0.0002329317358089611,0.00022344719036482275,0.00019967547268606722,0.0005322260549291968
34170_0011_A_81	0.0009915578411892056,0.0004119951627217233,0.0001105520932469517,0.0002832341124303639,0.001107785850763321,0.0003961981274187565
34170_0012_A_83	0.00182238663546741,0.000601185776758939,0.00027824786957353354,0.00042663561180233955,0.0010223712306469679,0.00023613707162439823
34170_0012_A_84	0.0007864629733376205,0.0009198124753311276,0.0004963346291333437,0.00023881808738224208,0.00021100512822158635,9.341115946881473e-05
34170_0012_A_85	0.0005983544397167861,0.0009960525203496218,0.0005871377652511001,0.00020845496328547597,0.00019196902576368302,0.00012516659626271576
34170_0012_A_86	0.0006424516905099154,0.0009369903709739447,0.0005921634146943688,0.0002682459307834506,0.00022484982036985457,0.00011666664795484394
34170_0012_A_87	0.00046037015272304416,0.0008650132222101092,0.0006944187334738672,0.0002519921981729567,0.00019198273366782814,0.0001216664895764552
34170_0012_A_88	0.0006720357341691852,0.001085550175048411,0.0006650958093814552,0.0002569591742940247,0.00021561453468166292,0.00011265100329183042
